acc_z,stanje_na_putu
9.394,ok
9.155,ok
9.547,ok
9.956,ok
10.07,not ok
9.949,ok
9.885,ok
9.776,ok
9.755,ok
10.128,not ok
10.17,not ok
9.944,ok
9.616,ok
9.79,ok
10.041,not ok
9.78,ok
9.869,ok
9.857,ok
9.757,ok
9.682,ok
9.595,ok
9.751,ok
9.482,ok
9.332,ok
9.748,ok
10.101,not ok
9.956,ok
9.749,ok
9.663,ok
9.508,ok
9.798,ok
9.864,ok
9.878,ok
9.36,ok
9.273,ok
9.957,ok
10.34,not ok
10.511,not ok
9.765,ok
